Referência:;2021;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
001.009.0004 - Gerencia da Engenharia;001.0001 - Salários;4921,51;4526,52;4441,9;5169,83;6099,34;5819,49;4794,91;6106,29;5361,49;5769,44;5597,22;6542,53;5575,82;6003,2;6100,12;6149,35;5493,43;6020,16;6298,42;5386,75;5501,93;7043,06;6470,61;6671,18
001.010.0001 - Equipamentos;001.0001 - Salários;72095,41;64994,69;76911,9;55209,37;80793,55;79079,31;76708,17;59541,15;80728,24;82019,49;74962,57;71481,58;83657,32;59821,38;63279,94;68054,98;58682,88;85211,3;62592,44;88341,69;69718,11;61823,13;57530,96;72124,37
001.010.0002 - Utilidades;001.0001 - Salários;35007,09;34461,99;34118,92;27027,21;32725,82;29431,03;40082,84;38055,76;31987,21;39744,16;42249,25;41643,87;36590,6;39323,02;30468,62;36618;30989,51;39972,24;31567,65;43327,27;38667,11;39694,6;37420,02;43788,67
001.010.0003 - Predial;001.0001 - Salários;10143,64;12187,59;11888,21;12222,88;10014,7;10223,57;9760,4;12030,92;11111,39;13722,09;12218,87;14057,48;13540,07;13542,28;13329,87;10102,8;9799,14;12433,79;12299,33;12595,68;10780,6;11304,09;11368,92;13885,86
001.001.0001 - Linha de Produção;001.0002 - Horas Extras;219766,69;261861,98;273208,07;255958,31;192012,15;190132,92;257075,99;222484,68;403965,98;376229,73;312282,7;292371,33;179159,91;182790,85;244558,58;291550,77;288781,89;262698,16;339907,19;187496,15;461520;460248,7;188610,24;125115,93
001.001.0002 - Gerência de Produção;001.0002 - Horas Extras;44861,26;47359,5;43744,96;42616,86;44660,53;36506,79;51972,81;37600,79;75496,9;62142,18;67523,55;48812,49;41351,03;24279,31;50951,46;49605,68;56990,98;44916,39;56293;36739,27;68640,83;83581,48;25148,25;25236,81
001.002.0001 - Equipe de Vendas;001.0002 - Horas Extras;26325,18;22575,5;27858,04;25350,89;25993,14;23176,31;26093,69;24580,86;42941,8;28613,51;34732,47;33577,67;22415,43;19288,66;31642,34;27619,46;29447,64;28485,15;24920,54;17017,22;51841,22;39387,22;21373,44;13394,5
001.002.0002 - Marketing Digital;001.0002 - Horas Extras;11392,75;11259,45;9806,67;8977,54;7689,93;9432,96;10423,48;10329,81;14889,49;12210,42;16237,02;13875,29;9432,74;7539,02;14076,31;11406,78;12483,2;12494,79;13245,56;7247,79;18357,17;18939,31;8544,75;6402,98
001.002.0003 - Pesquisa de Mercado;001.0002 - Horas Extras;3528,93;3548,31;4129,5;4421,82;3521,04;3178,03;4434,41;4644,04;6959,27;5277,33;6086,13;5133,24;3716,61;2538,06;4720,21;5189,59;4653,2;4520,24;5589,05;3046,56;6367,76;6747,89;3273,5;2513,7
001.002.0004 - Gerência de Vendas;001.0002 - Horas Extras;2252,34;2245,49;1745,13;1861,35;1584,17;1665;2447,24;1794,54;3609,3;2838,92;2725,11;2601,1;1776,21;1552,85;2666,67;2196,89;2279,52;2244,7;2437,06;1426,57;4128,99;4218,71;1512,1;1021,97
001.003.0001 - Recrutamento e Seleção;001.0002 - Horas Extras;2949,41;3625,05;3027,32;3848,82;4075,28;3274,2;4067,3;4278,51;4977,02;5390,07;4838,4;4004,12;2596,87;2647,39;3435,29;4456,69;4151,48;4504,28;5053,06;2846,31;5552,78;7001,08;2936,33;2287,97
001.003.0002 - Treinamento e Desenvolvimento;001.0002 - Horas Extras;3013,39;3031,8;3489,27;2483,01;3008,92;2775,52;3520,05;2696,94;4856,51;4959,42;4010,69;3982,83;2466,68;2055,84;3747,93;3476,32;2747,76;3401,66;3502,31;2162,96;5790,34;4860,36;2203,39;1504,56
001.003.0003 - Remuneração e Benefícios;001.0002 - Horas Extras;2470,01;2552,24;2598,99;2207,24;1882,44;1700,83;2928,64;2991,14;4241,45;3270;3759,28;2655,57;2046,76;1881,17;2808,7;2778,38;3185,65;2783,22;3077,63;1814,44;3583,37;4063,88;1836,86;1492,65
001.003.0004 - Relações Trabalhistas;001.0002 - Horas Extras;1940,69;1739,38;1926,8;1634,24;1885,83;1683,04;1784,61;2168,98;2994,33;3044,77;2280,74;2636,51;1701,11;1002,21;1779,84;2426,68;2204,77;2095,48;2301,03;1160,83;2924,1;3688,84;1500,88;961,06
001.003.0005 - Gerência de RH;001.0002 - Horas Extras;1204,24;1240,5;1325,22;1164,05;1368,45;996,49;1455,8;1175,25;1960,83;1376,21;1332,54;1650,13;920,59;661,89;1415,24;1604,81;1375,68;1325,86;1411,78;754,44;1754,84;2178,71;793,84;681,96
001.004.0001 - Contabilidade Geral;001.0002 - Horas Extras;3737,53;2507,58;2813,71;3093,69;2800,72;2617,47;3040,58;2802,72;5773,75;4429,85;4487,24;4063,77;2739,51;2076,96;3414,67;3125,89;3312,3;4038,23;4774,72;2955,2;5964,13;4977,82;2194,43;1381,72
001.004.0002 - Planejamento Financeiro;001.0002 - Horas Extras;1609,28;1692,03;1685,72;1612,76;1544,26;1950,33;2031,38;2473,98;2612,34;2967,75;2788,02;2202,59;1958,49;1418,06;2514,83;2877,54;1935,24;1842,2;2375,44;1427,32;4243,78;3958,34;1431,85;1196,57
001.004.0003 - Tesouraria;001.0002 - Horas Extras;1342,91;1412,51;1807,51;1482,23;1488,51;1176,95;1642,9;1972,8;2319,19;2218,71;2400,78;2028,53;1403,37;1112,88;1801,78;1664;1556,8;1555,31;1740,4;1269,3;3412,2;2812,13;1121,16;874,76
001.004.0004 - Controladoria;001.0002 - Horas Extras;973,35;933,61;1360,78;1201,2;1193,74;1049,32;1151,28;1354,81;2049,42;1817,79;1662,01;1841,43;1240,46;823,27;1343,65;1417,83;1207,2;1190,84;1641,06;903,46;2429,66;2379,22;758,11;682,51
001.005.0001 - Pesquisa e Desenvolvimento;001.0002 - Horas Extras;3528,46;3274,19;4503,64;3019,17;3558,78;3594,09;4474,21;4546,57;5749,39;6829,06;6196,77;4351,2;3894,84;2579,02;3795,07;4360,84;5174,86;4608,43;5686,16;3515,05;7697,39;8419,15;3563,67;1970,68
001.006.0001 - Testes de Qualidade;001.0002 - Horas Extras;7421,77;6532,95;7732,06;8620,16;9190,85;7935,81;9071,58;9705,97;13859,31;9805,05;10442,85;11882,94;6403,77;5806,19;8056,2;9092,45;8751,91;7716,66;11605,2;6200,11;15019,06;17727,82;6748,61;4536,31
001.006.0002 - Inspeção de Produtos;001.0002 - Horas Extras;2448,16;2632,5;2674,66;2425,22;2067,62;1736,37;3036,95;2444,73;3509,66;3778,12;3343,31;3318,39;2521,78;1918,48;2288,1;2377,26;2709,57;2466,27;3463,86;1606,82;4556,26;4929,4;1556,01;1356,84
001.006.0003 - Documentação Legal;001.0002 - Horas Extras;1297,81;1016,03;1357,97;1028,54;1133,95;941,85;1142,86;1216,99;1918,01;1709,06;1499,98;1296,67;929,16;938,97;1246,61;1257,29;1277,61;1366,97;1361,64;761,74;2278,35;1988,04;934,18;546,67
001.007.0001 - Gerenciamento de Estoques;001.0002 - Horas Extras;3177,64;3519,37;3386,6;2904,57;2947,37;3233,08;3764,97;3510,21;5040,78;4155,59;4178,68;4739;3374,82;2064,87;4384,17;3861,47;4134,76;3957,89;3280,95;2553,53;6893,62;5388,23;2634,75;1527,46
001.007.0002 - Transporte e Distribuição;001.0002 - Horas Extras;3313,47;2415,18;2762,63;2846,93;2393,55;2729,7;2415,84;2824,07;4615,7;4444,06;4309,5;3884,96;1989,16;1913,74;2845,04;3447,7;2631,23;2451,89;4219,64;2119,99;5988,68;5899,24;2459,09;1404,37
001.007.0003 - Aquisição e Compras;001.0002 - Horas Extras;1719;1380,67;1738,65;1772,84;1558,2;1238,26;1501,93;1493,03;2409,14;2357,24;2566,55;2413,87;1485,2;1261,29;1684,94;1568,75;2127,28;1758,72;2262,43;1170,67;2910,2;2294,51;1155,43;855,26
001.007.0004 - Planejamento de Suprimentos;001.0002 - Horas Extras;431,39;379,7;329,39;420,64;329,09;334,96;461,84;411,08;668,14;560,66;506,68;620,76;407,7;228,48;416,38;423,66;427,29;396,83;524,51;309,83;700,64;713,13;330,32;185,95
001.008.0001 - Suporte Técnico;001.0002 - Horas Extras;5625,25;4979,06;5100,23;4588,91;4160,77;4765;4386,19;5787,6;6081,58;6410,45;7427,39;5882,48;4071,11;3045,28;5417,83;4850,44;5056,07;4127,64;6300,31;4099,33;9453,54;9390,39;3819,77;2632,04
001.008.0002 - Desenvolvimento de Software;001.0002 - Horas Extras;4091,57;4040,52;4245,26;2969,8;2774,96;3800,47;3814,96;4402,67;6492,79;4895,72;4968,66;5458,88;2614,97;2256,13;4748,99;4462,35;3908,97;4310,2;3841,03;3213,53;7728,97;7165,71;2680,51;1752,62
001.008.0003 - Gerenciamento de Redes;001.0002 - Horas Extras;2656,64;2262,03;2741,64;2174,7;2320,57;1804,56;2180,86;2166,07;3034,56;3136,72;2927,31;3286,57;1866;1348,05;2948,11;2997,78;2293,77;2289,13;3418,3;2032,19;5009,79;4019,2;1878,07;1405,28
001.008.0004 - Segurança da Informação;001.0002 - Horas Extras;1299,39;1145,93;1288,24;1286,85;1323,49;1224,5;1208,86;1322,49;2174,39;1823,91;1903,31;1464,04;917,22;790,49;1360,16;1582,3;1118,83;1415,84;1633,92;834,25;1952,96;2319,58;1069,57;553,92
001.009.0001 - Novos Projetos;001.0002 - Horas Extras;3181,71;2759,98;3595,69;2498,8;3015,45;3070,6;3066,25;3172,21;4690,33;5426,01;4680,73;4285,03;2998,94;2281,5;3773,34;4321,52;3230,46;3713,83;4818,78;2649,9;4653,78;6149,54;2571,44;1824,97
001.009.0002 - Gestão de Projetos;001.0002 - Horas Extras;2114,35;2416,73;1914,12;2583,27;2157,83;2246,54;3036,36;2674,15;3935,01;3697,07;3183,31;3577,34;2262,37;1422,37;2648,14;3050,38;2350,2;2317,77;3604,21;1542,39;3826,85;5048,99;1675,31;1375,14
001.009.0003 - Desenho Tecnico;001.0002 - Horas Extras;1914,04;1531,12;1459,2;1659,46;1519,77;1216,95;1879,63;2028,22;2483,99;2607,17;2353,74;2245,64;1399,02;1131,27;1590,48;1743,47;1992,62;1552,55;2040,73;1075,1;2959,24;3086,04;1047,16;686,92
001.009.0004 - Gerencia da Engenharia;001.0002 - Horas Extras;706,15;750,07;844,81;813,21;860,99;804,76;783,6;723,2;1026,64;1074,15;1190,92;1208,2;662,33;631,01;1119,58;1066,18;817,76;989,94;1045,36;732,75;1582,64;1380,06;698,88;478,39
001.010.0001 - Equipamentos;001.0002 - Horas Extras;11359,75;9022,93;10717,13;8555,74;7577,08;7639,56;9619,88;10729,26;12144,54;10997,91;15191,24;10019,01;8047,6;7647,24;12055,27;12017,47;9443,83;12079;14313,66;7972,54;15265,52;15996,63;8169,06;4600,7
001.010.0002 - Utilidades;001.0002 - Horas Extras;4163,85;4850,4;4046,17;4724,71;5290,68;3417,72;5609,39;4472,82;7022,48;5517,21;6574,89;5406,77;4037,5;2752,68;6625,6;5115,1;5044,52;5881,25;5390,09;3468,05;7154,59;7378,89;3542,71;2599,58
001.010.0003 - Predial;001.0002 - Horas Extras;1673,57;1735,12;1824,07;1226,14;1825,07;1184;1880,01;1953,99;2496,98;2555,07;2399,48;1744,25;1520,01;973,25;1631,97;1997,11;1634,17;1762,14;1882,51;1066,48;2454,15;2342,18;1372,66;779,62
001.001.0001 - Linha de Produção;001.0003 - Indenizações;13575,82;16301,58;6330,45;18664,91;11488,17;18141,74;21533,22;15283,36;25734,78;23119,24;21673,44;13892,09;23858,64;4139,06;24438,43;4853,23;11269,33;10961,12;10669,23;4110,45;14914,93;22330,03;10763,27;5228,26
001.001.0002 - Gerência de Produção;001.0003 - Indenizações;2148,38;3356,75;1297,18;2996,51;1920,5;3956,21;3637,71;2646,63;4466,5;4398,15;3952,75;2642,09;4856,1;535,92;4014,78;837,81;2387,93;1834,98;2502,96;674,66;2087,14;3084,8;2564,15;998,04
001.002.0001 - Equipe de Vendas;001.0003 - Indenizações;1221,58;1745,48;788,07;2026,51;989,76;2068,81;2766,71;1131,88;2499,57;3009,2;2474,19;1624,09;3141,28;433,4;2012,81;490,54;1463,65;1082,19;1167,65;466,35;1490,37;2119,32;1205,8;594,74
001.002.0002 - Marketing Digital;001.0003 - Indenizações;493,82;814,75;319,23;872,7;487,97;738,92;1068,29;505,33;972,58;930,01;1315,36;704,04;1111,1;131,18;915,76;196,74;614,7;533;417,83;186,66;607,47;889,14;475,67;220,89
001.002.0003 - Pesquisa de Mercado;001.0003 - Indenizações;243,43;301,42;112,2;290,69;199,99;292,75;385,96;221,03;502,87;497,3;391,29;223,83;480,31;49,25;396,8;83,97;223,09;204,88;232,7;79,13;198,15;282,5;238,93;99,89
001.002.0004 - Gerência de Vendas;001.0003 - Indenizações;135,49;142,15;47,41;157,6;96,46;167,92;247,93;90,24;233,95;221,5;221,64;95,71;253,2;34,04;213,4;37,52;108,97;90,41;103,06;30,27;110,7;185,01;91,22;48,97
001.003.0001 - Recrutamento e Seleção;001.0003 - Indenizações;214,41;242,41;104,07;299,74;187,98;251,18;433,29;210,24;422,77;337,75;353,61;211,3;363,04;44,54;340,15;65,11;197,86;190,93;175,4;71,22;160,82;295,81;208,48;88,88
001.003.0002 - Treinamento e Desenvolvimento;001.0003 - Indenizações;204,47;211,97;70,8;264,12;111,29;253,88;286,03;190,62;320,77;343,42;367,06;187,54;441,74;52,75;288,17;43,47;165,13;159,04;156,05;54,74;180,57;223,69;163,61;64,31
001.003.0003 - Remuneração e Benefícios;001.0003 - Indenizações;130,89;199,05;60,35;192,35;127,75;193,76;286,7;141,03;259,53;215,65;264,52;149,93;242,25;41,02;203,04;36,23;147,31;102,83;131,21;34,04;115,68;181,25;152,15;60,68
001.003.0004 - Relações Trabalhistas;001.0003 - Indenizações;106,98;116,25;57,64;116,56;67,57;164,32;159,01;100,79;237,25;185,08;204,15;115,06;217,93;22,28;159,88;36,89;105,33;68,67;89,65;33,43;93,91;163,62;84,19;40,27
001.003.0005 - Gerência de RH;001.0003 - Indenizações;59,07;68,82;37,84;109,63;57,1;95,29;132,24;54,05;154,49;126,79;157,56;58,8;157,64;20,62;111,93;21,29;52,05;54,33;50,25;24,33;58,31;87,66;53,72;32,31
001.004.0001 - Contabilidade Geral;001.0003 - Indenizações;207,31;266,88;85,22;198,95;147,86;213,7;302,47;138,79;346,02;291,28;373,95;199,68;339,79;49,54;306,01;48,05;160,4;122,56;180,88;45,35;193,15;273,5;155,47;77
001.004.0002 - Planejamento Financeiro;001.0003 - Indenizações;114,81;168,45;64,85;129,16;106,2;174,16;231,05;87,91;207,25;231,44;249,34;125,08;263,52;36,58;181,65;41,9;113,32;110,36;122,75;28,35;122,27;162,16;112,16;51,63
001.004.0003 - Tesouraria;001.0003 - Indenizações;81,37;131,41;54,07;117,42;79,48;112,15;149,95;84,83;209,9;178,13;146,82;96,67;229,56;21,78;172,76;29,96;76,95;79,8;89;31,21;96,23;140,75;72,14;32,77
001.004.0004 - Controladoria;001.0003 - Indenizações;76,79;83,5;37,74;85,13;63,13;101,43;144,39;54,97;133,11;121,16;156,77;79,49;163,58;19,08;140,27;21,42;69,18;66,97;71,97;19,13;66,14;80,33;72,21;27,48
001.005.0001 - Pesquisa e Desenvolvimento;001.0003 - Indenizações;268,48;331,33;139,13;287,72;195,02;383,24;408,81;228,95;445,3;384,36;514,8;212,19;530,04;52,65;368,33;57,98;218,86;171,16;194,57;63,88;252,3;336,31;178,72;75,59
001.006.0001 - Testes de Qualidade;001.0003 - Indenizações;587,82;702,31;213,71;669,21;362,28;811,46;1045,48;512,47;884,52;819,77;766,93;492,16;953,36;111,21;849,77;169,17;401,62;418,69;420,78;160,71;468,52;726,99;453,91;159,87
001.006.0002 - Inspeção de Produtos;001.0003 - Indenizações;165,09;168,75;80,91;211,32;94,32;201,31;276,98;132,53;244,03;285,09;284,04;115,16;278,8;33,27;226,63;47,12;104,29;121,49;101,55;39,47;139,72;222,44;112,13;59,1
001.006.0003 - Documentação Legal;001.0003 - Indenizações;69,72;93,61;42,1;77,25;45,12;118,3;101,4;65,93;150,36;150,69;125,83;79,67;132,15;19,31;118,15;24,19;76,62;51,31;51,37;24,47;54,65;103,47;55,47;25,58
001.007.0001 - Gerenciamento de Estoques;001.0003 - Indenizações;176,31;243,35;108,45;240,65;137,35;284,33;294,92;176,65;307,16;281,82;407,52;170,96;370,23;57,33;272,38;54,1;150,39;141,05;133,13;59,74;149,89;240,14;191,85;71,21
001.007.0002 - Transporte e Distribuição;001.0003 - Indenizações;165,57;236,67;71,02;202,84;122,26;225,22;338,77;147,48;335,34;284,39;307,62;172,34;339,23;37,06;333,76;44,92;155,44;141,21;124,38;53,18;146,67;182,87;156,08;52,45
001.007.0003 - Aquisição e Compras;001.0003 - Indenizações;96,42;121,23;37,76;113,29;70,75;154,8;188,04;95,94;203,81;144,67;192,98;101,45;163,29;27,94;132,85;32,64;101,16;66,89;75,82;30,9;69,2;107,42;76,21;39,23
001.007.0004 - Planejamento de Suprimentos;001.0003 - Indenizações;20,77;32,85;9,9;28,59;19,42;33,73;41,14;24,56;43,8;43,87;46,57;26,83;54,33;7,33;46,32;8,55;23,97;18,94;24,43;6,88;24,61;33,11;23,81;9,01
001.008.0001 - Suporte Técnico;001.0003 - Indenizações;328,31;374,24;130,61;371,81;219,83;405,02;449,8;260,52;477,38;562,15;538,55;325,53;590,41;83,05;386,9;92,26;307,49;255,86;289,84;67,46;304,31;417,23;294,99;98,29
001.008.0002 - Desenvolvimento de Software;001.0003 - Indenizações;172,8;306,4;101,53;242,37;149,52;253,13;416,88;161,57;385,5;325,61;436,56;220,71;492,35;46,58;397,28;75,91;205,42;143,63;164,13;69,15;183,04;323,39;155,43;93,1
001.008.0003 - Gerenciamento de Redes;001.0003 - Indenizações;122,19;179,74;64,02;160,24;98,14;193,09;264,28;121,6;250,7;296,37;286,49;168,38;276,94;34,86;243,87;37,9;135,92;97,35;127,94;33,69;139,86;170,65;142,11;47,78
001.008.0004 - Segurança da Informação;001.0003 - Indenizações;75,77;75,32;28,38;93,34;45,07;100,33;102,27;63,73;151,93;117,64;124,09;67,85;127,84;18;130,18;18,47;59,35;61,09;68,01;20,86;72,66;97,18;54,95;26,97
