Referência:;2020;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
001.004.0002 - Planejamento Financeiro;001.0001 - Salários;9070,467292;13874,53349;7868,568829;15313,95414;14296,70043;9225,422169;15742,74508;13576,66864;13693,02566;12546,50743;13873,34516;11313,92458;10274,60179;12527,5307;9614,367873;16100,90768;15935,78089;14347,46262;12349,50523;12926,52619;14374,63913;9031,35606;10376,28284;10004,37918
001.004.0003 - Tesouraria;001.0001 - Salários;7692,050859;11200,67653;11304,54786;6825,169041;12866,10521;12800,72158;8206,512583;11378,86294;12392,08277;9445,317572;12900,75862;6862,148367;9752,697215;11214,16082;12407,12824;14130,2608;8761,362441;9248,832261;10325,32136;12456,08704;13674,49277;8115,893741;11813,6971;9410,757498
001.004.0004 - Controladoria;001.0001 - Salários;7287,307076;7331,675263;8297,887764;7874,936107;6520,66444;6398,049603;7878,538351;7650,407522;7410,223255;8159,403514;8093,461677;8426,114569;7342,933999;7183,506313;5573,975116;9489,361087;8527,353116;6337,456443;5691,744329;10169,46521;6760,498733;8961,66893;8248,576587;7352,901118
001.005.0001 - Pesquisa e Desenvolvimento;001.0001 - Salários;31457,99059;25536,08753;23287,23878;23073,701;33577,90489;19180,99689;21585,52692;29423,35724;34839,91968;25224,07361;24621,27682;26802,84372;32715,10775;26893,59629;23090,33879;19166,34236;26618,19604;30591,25345;32572,62272;29381,70962;21351,29781;36599,12289;23649,94374;25602,37201
001.006.0001 - Testes de Qualidade;001.0001 - Salários;53786,66908;38478,03328;50600,74536;43205,67458;60233,18367;60895,12417;64066,25157;40397,96897;64668,73717;45926,89289;41542,30098;72133,41118;60331,12181;49808,83775;55239,23893;61786,06635;49015,38209;58001,59686;58221,853;59227,72627;55278,37246;75386,69337;53974,79864;51062,69265
001.006.0002 - Inspeção de Produtos;001.0001 - Salários;13238,48838;12613,70882;20394,86764;11880,41358;13710,39473;11703,19549;17247,57001;14236,52869;13397,35031;20045,21098;14890,62619;15181,06602;15605,3752;20036,68497;17785,85564;21962,38788;12480,57207;11710,23577;18117,40767;14861,66313;17273,65052;16896,49493;12808,71461;12863,36923
001.006.0003 - Documentação Legal;001.0001 - Salários;6384,043562;7387,044527;9042,473255;5132,777353;4995,581825;7593,267606;5998,238008;7834,792457;6970,786209;10694,48409;7852,764862;7540,483037;6613,195783;6858,848708;8643,187006;8804,535233;8767,561733;6769,037323;5883,804513;7401,610945;10227,99992;6231,137662;7216,58902;10218,68325
001.007.0001 - Gerenciamento de Estoques;001.0001 - Salários;14495,38022;20323,94652;20197,79742;18506,06219;17375,1349;23070,37057;22665,25932;20871,94467;15547,60918;26993,88767;28442,84196;16357,28224;19110,77693;23329,70045;15881,25253;18985,36676;18746,61443;18033,93898;20000,49092;22338,01178;20836,7968;30339,72981;20037,99236;18062,56285
001.007.0002 - Transporte e Distribuição;001.0001 - Salários;17944,01654;14636,52227;15126,82735;11100,93271;18533,87833;19294,45052;16922,35484;19056,41565;20940,45938;17678,32617;21058,75622;15765,08425;13772,32822;18763,12186;14246,80872;12662,29702;17064,72927;20347,00197;16079,17377;16363,83377;13584,75841;20394,36185;14122,37397;22684,97711
001.007.0003 - Aquisição e Compras;001.0001 - Salários;9884,66435;13322,01991;9069,292023;6453,009822;12069,11803;7712,896846;9783,691538;10220,75661;8281,173643;7889,045813;13659,42889;7203,430487;9571,797518;11479,98446;8838,017124;9806,233858;8774,612254;8965,015442;7694,949873;7578,995319;9705,430325;10639,07636;9984,51529;11800,60975
001.007.0004 - Planejamento de Suprimentos;001.0001 - Salários;2584,793815;1991,210935;2634,28136;2471,275394;3118,306783;2118,888666;2792,780602;1926,821159;2021,417318;1881,81678;2734,330003;3472,099735;3665,454133;2871,533415;1815,118291;1884,665013;2403,257525;2003,051923;2512,554058;2939,337101;2307,798751;2299,418743;1756,043793;2196,449923
001.008.0001 - Suporte Técnico;001.0001 - Salários;29052,98032;37067,44877;22675,37229;25627,76037;28442,01871;21341,74589;23097,71824;29751,36731;43332,81153;30562,24564;22170,7788;27882,07563;35411,16697;34895,27857;29625,23076;31034,38285;25455,38106;39341,37638;31127,80149;22313,16668;39344,79123;22492,19539;28065,14635;30872,61727
001.008.0002 - Desenvolvimento de Software;001.0001 - Salários;26227,63202;22144,77645;19664,9713;30599,97731;17920,00015;13407,09052;16779,51953;26912,77424;28363,2054;27742,50224;26667,37344;19826,75788;18038,51559;23897,77298;21745,00728;22632,56185;21860,82322;26039,35388;23829,04073;26012,03223;19587,00542;23252,39267;19866,49618;17495,11915
001.008.0003 - Gerenciamento de Redes;001.0001 - Salários;11136,91724;14802,41328;19292,18218;14863,59899;20012,24777;11764,02871;19716,85502;12087,72054;12167,35167;17295,01124;13738,58554;13480,59647;14571,47982;17848,82342;12617,04399;13507,01085;12599,2147;15582,9635;14257,68891;13418,36374;17642,44363;19438,20188;10964,32903;21028,43223
001.008.0004 - Segurança da Informação;001.0001 - Salários;4820,842298;5334,730359;5611,371909;7594,714231;6355,069784;9615,110069;8150,039569;6749,58694;8146,57646;8348,613091;6057,320546;7647,047175;4962,877091;8653,936819;7422,082419;5496,982201;7922,303266;6625,653231;9688,052817;7616,610367;9656,985928;9052,531227;6963,846253;8493,357784
001.009.0001 - Novos Projetos;001.0001 - Salários;19284,13234;16951,18825;15143,0655;22942,06094;15397,25898;21157,63579;22068,7057;16485,75119;18479,76143;22503,23214;23545,7706;24034,53962;19038,53264;12377,66018;18511,75112;12683,17128;13961,31906;22872,21642;23005,87864;21204,00379;24842,411;25776,01044;25344,8296;26605,41896
001.009.0002 - Gestão de Projetos;001.0001 - Salários;11557,44465;17347,22701;19158,46474;12626,4498;10857,57239;14988,90996;21275,94687;12635,35508;14740,25688;13489,77312;17001,54818;13805,49397;18215,21427;16226,51067;16194,60425;14506,45981;14726,45939;10105,64826;16319,54095;13269,84632;18002,04333;16715,88985;16348,03024;16534,38914
001.009.0003 - Desenho Tecnico;001.0001 - Salários;8257,99609;8540,530033;10936,52448;8428,101424;13581,53829;10303,85128;10207,80326;9631,436491;11780,48343;8144,764465;10113,08872;7340,183377;12897,40017;7214,216296;12002,01098;8039,555682;9332,939423;11508,63283;8922,322284;8404,801903;7453,48584;13954,01238;10131,5962;11877,33994
001.009.0004 - Gerencia da Engenharia;001.0001 - Salários;4542,182488;3667,02964;4466,671899;3535,415951;6325,953312;6335,5408;4479,844646;6410,489958;5374,35394;5398,196376;5571,858659;6757,963859;4738,291444;6395,414943;4452,292691;6387,399059;4998,975856;4859,92314;4617,324495;4004,694431;5754,127458;6258,276534;4711,157562;5109,256583
001.010.0001 - Equipamentos;001.0001 - Salários;62797,31395;63694,82387;84509,76539;59065,09528;56984,45801;63078,46798;78531,53791;39196,5709;64452,41979;61489,41248;79126,75913;69083,44737;87138,15997;60414,72389;41957,45702;61495,12153;52992,18718;74411,60882;63082,33967;96783,68966;47261,79126;45781,06595;45224,29708;56933,12769
001.010.0002 - Utilidades;001.0001 - Salários;30201,86728;22558,05797;30190,87703;19554,95714;30659,24531;22204,61165;40530,66166;36079,17516;33374,21523;30457,27122;29861,42639;30170,7261;28959,10131;42508,11199;24153,11889;31399,84981;19891,92018;26450,13181;25143,41109;41853,30347;36673,10562;38528,08224;30304,07675;42227,16082
001.010.0003 - Predial;001.0001 - Salários;6952,787033;11135,32681;11381,33777;8071,090931;7405,913781;8709,429514;8589,811623;11786,00108;8882,219427;14687,83873;12854,00023;14629,16639;13603,73219;14833,00918;10159,59464;6917,95602;7177,290273;9056,805463;10333,52749;9156,725238;8948,447145;8494,185596;7472,4255;12035,22166
001.001.0001 - Linha de Produção;001.0002 - Horas Extras;216304,4748;191816,7064;258049,049;249387,8053;131477,7737;179245,6165;225230,8569;193871,3563;382818,7014;342170,4573;216858,2351;192480,8735;168561,1332;141161,0966;195668,1932;275689,9782;223465,9718;260345,6301;290033,7845;124786,1251;392963,8439;461601,6279;152170,3828;104442,5771
001.001.0002 - Gerência de Produção;001.0002 - Horas Extras;42356,40668;40846,01505;46367,1272;30735,07047;37718,33695;32427,48756;48457,76295;33460,4079;78364,22969;61675,50235;64627,37397;50962,81892;28623,37237;23731,37321;43321,77655;52050,72369;46206,91436;43611,28954;38543,4153;29361,02628;55120,53191;68521,42567;24922,1919;22653,21942
001.002.0001 - Equipe de Vendas;001.0002 - Horas Extras;22977,45885;18672,68044;30363,37161;21137,10087;17133,37628;17304,77367;19977,38233;19587,43418;27763,39138;23593,5157;33426,97236;25181,9206;17818,8631;18181,37839;31467,44552;24117,59678;25741,12129;20904,88857;23611,61659;11921,40733;54147,83599;30134,16671;16730,56392;8798,162099
001.002.0002 - Marketing Digital;001.0002 - Horas Extras;9921,07506;7504,437261;7218,705344;8824,794777;7746,768753;6864,81311;8295,485244;8686,147557;10251,75761;10266,50778;17883,36848;9062,628672;7372,527939;6433,801637;10708,52654;11784,44826;10403,52724;13718,52965;13916,91755;5761,872203;15640,97689;12190,17196;9103,831238;5866,0077
001.002.0003 - Pesquisa de Mercado;001.0002 - Horas Extras;2263,067953;2376,63976;4039,018726;4632,339443;2498,887505;2565,156654;4694,014385;3244,955129;5127,343319;3937,804266;4396,910201;4504,993692;3389,826413;1665,86118;3204,751193;4328,18342;4282,384046;3594,691914;5276,597877;2097,673121;6730,703526;6947,073856;3178,367659;1854,312601
001.002.0004 - Gerência de Vendas;001.0002 - Horas Extras;2014,108715;1828,459762;1613,14089;1571,191543;1046,036101;1711,806158;2616,81814;1674,66865;2962,404925;3015,932534;2404,176163;1816,198218;1506,389877;1365,577084;2287,646683;2074,315187;1804,768998;1942,504457;1707,331803;1536,562913;4386,118277;4485,125745;1271,956537;738,6655075
001.003.0001 - Recrutamento e Seleção;001.0002 - Horas Extras;2884,628503;3172,919692;2072,098793;3112,691775;3996,540753;2165,796537;3251,695081;3774,755035;4475,307244;3853,853987;5327,817462;3900,493143;1801,562879;2686,594595;3755,943387;3028,850108;3259,813281;2884,272675;3362,372502;2282,546448;5770,526487;5704,370141;2869,673204;1835,381713
001.003.0002 - Treinamento e Desenvolvimento;001.0002 - Horas Extras;2089,019498;2125,927334;3008,023474;1934,719496;1980,438162;2361,594459;3346,194635;2279,983123;4613,162602;3560,071513;3951,416279;3051,249704;2582,660189;1612,903688;3087,855352;2610,694733;2055,271475;2427,151422;3842,941194;1536,323698;5890,011697;4748,51061;1813,656015;1281,305235
001.003.0003 - Remuneração e Benefícios;001.0002 - Horas Extras;2705,69644;2245,153556;2533,102053;2403,610255;1563,213784;1544,427923;2386,988665;2627,880073;2775,34652;2271,706378;3279,379931;2395,099663;1539,733581;1844,978375;1935,449721;2443,056312;3262,8893;2261,421657;3274,002261;1436,881419;3253,549014;2812,848394;1621,035864;974,0375312
001.003.0004 - Relações Trabalhistas;001.0002 - Horas Extras;1594,845173;1602,563354;1855,94212;1100,458958;1788,534871;1847,679808;1228,545677;1777,722581;2664,248841;2293,799218;1785,250678;2345,61936;1812,120182;1012,022195;1424,318909;1653,94963;1616,434486;1454,805357;1716,427236;777,3967492;2304,33906;2635,29671;1161,840584;837,0861285
001.003.0005 - Gerência de RH;001.0002 - Horas Extras;775,174331;1128,70462;1223,258352;868,6391631;1017,883536;899,780314;1517,677596;757,654923;2005,562193;1007,559367;932,8377015;1757,651091;657,0704117;568,2135906;1291,082918;1692,80069;1462,444503;1097,044345;1083,426371;560,1294239;1372,401721;2014,12128;792,1856693;663,1326958
001.004.0001 - Contabilidade Geral;001.0002 - Horas Extras;2557,089802;1846,441416;2184,964541;2354,296014;2662,377915;2064,080493;2614,446964;2749,974567;4556,241442;4368,540559;3366,102148;4452,469486;1916,836692;1988,947867;2555,069519;2638,311821;2586,510653;3795,975406;3300,353365;2695,554648;4964,801819;3289,628047;1435,175804;1367,560774
001.004.0002 - Planejamento Financeiro;001.0002 - Horas Extras;1241,096182;1559,529667;1567,009179;1506,590239;997,892031;2030,882061;1466,25502;2375,380245;2768,315675;2597,734725;2147,958574;1447,027571;2014,40912;1018,883304;1729,378637;3105,022339;2007,213181;1435,79692;2112,926462;1351,453418;4106,901821;3830,491918;1203,193073;808,2772382
001.004.0003 - Tesouraria;001.0002 - Horas Extras;1391,148805;1364,711083;1516,917463;1545,559424;1587,661305;1149,89432;1065,232941;2088,35116;1500,175382;2064,323167;2586,759924;1364,635511;917,7100523;1073,722665;1187,024969;1242,990515;1290,770911;1101,771324;1369,227956;1286,611086;2385,014162;3074,558228;899,2289767;778,8779828
001.004.0004 - Controladoria;001.0002 - Horas Extras;888,3885128;875,6899388;923,6726747;898,6970659;883,6775285;979,7401495;826,3351364;1013,615954;1330,345051;1556,215037;1554,947378;1586,826384;811,8760549;724,4451347;1073,080009;1549,979508;867,3677577;1013,318291;1286,804647;702,2052181;2321,007194;2149,609404;486,1605236;624,5003506
001.005.0001 - Pesquisa e Desenvolvimento;001.0002 - Horas Extras;3333,125763;2996,895051;4854,347363;2907,57122;2378,579644;2472,038548;4609,272748;3294,385913;4345,038125;5485,81837;5862,199804;3019,957339;2526,659678;2132,400325;3855,334561;4488,259714;4928,044175;3715,896175;4153,365139;2940,636896;5684,302884;6042,371496;2552,616574;1942,113121
001.006.0001 - Testes de Qualidade;001.0002 - Horas Extras;8055,449572;4712,55643;6245,247398;7156,935502;7987,862786;8548,639454;6135,850649;8824,706016;14060,21366;7762,215206;9609,112262;12141,05348;6684,031803;4532,945273;8496,78052;7620,862135;5781,34784;6853,185357;9356,231521;5011,036225;10549,81796;14746,06499;5463,425587;3834,759743
001.006.0002 - Inspeção de Produtos;001.0002 - Horas Extras;1644,99756;1703,994852;2390,027417;2077,340865;1799,42191;1654,194111;3045,455581;2120,31862;3143,126928;2696,782833;2167,029735;2228,7561;1651,832065;2053,057568;1887,853474;1709,222875;2070,131004;2272,312914;2660,859197;1151,479852;4683,246824;3489,596127;1428,29858;1428,777407
001.006.0003 - Documentação Legal;001.0002 - Horas Extras;1053,776712;705,8215223;1175,889937;780,9752248;882,0997282;613,5121096;950,3966051;1120,361544;1368,186116;1279,607765;1452,784079;1195,012985;662,3469297;746,1866118;1113,985191;1099,266387;1121,750485;1048,007354;1259,450668;759,7219839;1697,522414;1847,768265;789,1056648;407,0020059
001.007.0001 - Gerenciamento de Estoques;001.0002 - Horas Extras;2056,726689;2296,239035;2235,36256;2598,718169;3198,536568;3487,794709;3216,109003;2273,808125;4377,296107;3769,761968;3246,227443;3431,655652;3443,689048;2035,932009;4340,309439;3186,859641;4274,725817;3077,388047;3381,863241;2291,713868;5397,97277;5301,790904;2844,750939;1656,825099
001.007.0002 - Transporte e Distribuição;001.0002 - Horas Extras;2133,769337;2252,700408;1909,354867;3000,926013;2287,473099;1966,254545;2187,495494;2007,834122;4866,376395;3798,003831;3835,651039;2617,061755;1584,66093;1635,980236;2492,593768;2578,557832;2342,495522;1853,07228;4215,486132;1519,65779;4149,645025;5111,257494;2040,72171;901,8557447
001.007.0003 - Aquisição e Compras;001.0002 - Horas Extras;1893,543203;1465,316769;1770,199389;1448,591912;1143,720874;1055,056415;1006,655331;1413,037352;1683,307422;1599,477495;1953,040832;2291,108172;1125,303562;1109,991866;1311,485199;1710,110437;1386,487037;1610,695498;1586,078798;1104,670445;1961,797881;2438,773833;963,457683;767,3307714
001.007.0004 - Planejamento de Suprimentos;001.0002 - Horas Extras;456,1303639;279,9591268;238,3803506;450,1033143;211,3344279;286,9807815;431,2842926;448,9073462;633,7208147;500,848432;428,4148621;525,0440271;356,5449571;244,5002584;354,8152926;400,7589684;392,2053371;346,8794621;483,1863253;302,1289684;638,4482834;652,8381335;353,4491515;135,6430767
001.008.0001 - Suporte Técnico;001.0002 - Horas Extras;5729,013898;3605,325541;3835,204317;3107,243778;2999,430068;4952,188503;4118,973174;5978,263807;6207,644332;6081,158738;4823,996998;6310,58233;3200,689927;2233,432462;5462,267806;4317,540446;4148,205783;4367,011524;6075,660528;3501,441052;9442,598614;7628,636098;4061,980332;2081,947021
001.008.0002 - Desenvolvimento de Software;001.0002 - Horas Extras;3060,680496;4388,887045;4027,17907;2689,173943;2326,441863;2546,23131;2880,575046;3279,980533;4349,959085;4953,228757;4730,972559;5777,414534;2826,200198;2464,865873;4510,309123;3458,606608;4253,2941;3433,316404;2708,62399;2087,170717;8037,545933;5528,337382;1915,87372;1564,169006
001.008.0003 - Gerenciamento de Redes;001.0002 - Horas Extras;2505,018104;2124,653152;2577,272432;1682,168494;2269,546098;1449,983238;1906,347415;1750,494473;3200,64469;2215,88872;2417,152248;2783,496476;1460,243097;1032,717028;2443,771922;2123,014984;2120,278532;2491,157988;3484,67904;1565,319151;5238,878042;3527,347436;1408,219411;1532,13105
001.008.0004 - Segurança da Informação;001.0002 - Horas Extras;1001,243206;954,6568917;1416,484519;867,7566771;1392,883174;1032,700758;1325,368703;1266,693107;2271,404522;1258,770644;1778,77093;1515,161015;734,3940241;677,0751072;990,607291;1363,440248;870,9737127;1034,254581;1443,405497;652,0948655;1564,744713;1647,74569;715,122129;408,6870456
001.009.0001 - Novos Projetos;001.0002 - Horas Extras;3047,236855;2797,918022;2987,347554;1745,938849;2230,232945;2253,211378;2119,178182;2886,618773;4307,134999;4630,91305;4202,424985;2882,852215;2446,163623;2400,797195;2684,91178;3360,120174;3133,913832;2615,132917;4452,143561;2568,400552;3143,111177;4842,361577;2032,696626;1760,179944
001.009.0002 - Gestão de Projetos;001.0002 - Horas Extras;1727,370782;2564,534338;1828,941051;1960,092399;1631,439127;1517,228838;2704,677178;2385,642148;4028,582272;2426,802976;2302,143104;2465,299576;1961,488054;1356,101297;2481,910085;2974,490882;2430,918651;2013,158193;2948,566821;1346,600836;2615,565955;4301,423979;1292,949244;1204,916559
001.009.0003 - Desenho Tecnico;001.0002 - Horas Extras;2005,365788;1581,091067;1227,78606;1140,771488;1358,442569;1227,609788;1429,974658;1778,455045;2303,820986;2082,472984;2589,947077;1824,684199;1276,247507;1158,926575;1310,472524;1319,163479;2069,775673;1164,351467;2042,777954;1062,67228;3085,558225;2305,275491;982,0078744;731,0182895
001.009.0004 - Gerencia da Engenharia;001.0002 - Horas Extras;766,925901;781,0507149;688,7996456;530,9861137;777,3644271;708,5223211;637,1882332;612,9931529;1114,774314;747,2345402;1225,108258;994,235754;488,8127053;501,9849335;1176,231946;735,1437586;778,261007;797,1458311;797,9612828;704,2261042;1045,153296;1415,136197;556,2172526;523,6263771
001.010.0001 - Equipamentos;001.0002 - Horas Extras;8874,557471;9789,701717;8192,137183;8733,166974;7149,966636;6637,043095;9484,600262;10851,53808;10218,69457;8124,148706;10013,45701;9702,426758;7763,114144;6696,236012;12918,71351;10038,701;6049,898453;10648,31099;15773,68112;6033,805551;13509,67511;16897,15578;7164,901994;2992,723077
001.010.0002 - Utilidades;001.0002 - Horas Extras;2698,370109;4566,43317;3249,992055;4529,506975;5094,266764;3269,850046;4061,212937;3884,920134;5460,848307;5429,603987;5330,956707;5171,464476;2734,310743;2338,75145;5196,205755;3587,20714;4521,081204;3794,521214;4424,104903;3438,819861;6909,94374;6144,863923;2635,344047;1827,112411
001.010.0003 - Predial;001.0002 - Horas Extras;1736,885984;1285,283411;1338,296741;1155,305809;1851,4533;919,194113;1338,787733;1749,364891;2340,466192;2405,977589;2525,908085;1228,89094;1131,905852;1063,219664;1295,699553;1817,111659;1161,04476;1479,60508;1303,234431;685,1379047;2657,922874;2329,117806;1022,215859;842,5538358
001.001.0001 - Linha de Produção;001.0003 - Indenizações;14606,61155;10594,82051;5809,255357;13679,10131;10239,6583;15811,43783;21487,55938;9893,767775;16788,99498;22788,69671;22048,19179;9234,97844;20750,45994;3570,822665;15684,29011;3938,397687;7942,800712;10949,10331;8172,635468;2643,075389;10907,82988;23935,56418;8025,941892;4240,071829
001.001.0002 - Gerência de Produção;001.0003 - Indenizações;1791,260247;2261,298248;872,7542293;2476,631642;2051,844676;2770,113354;3466,203598;2520,773414;4798,298647;4490,83495;4064,234967;1851,400992;4071,01644;582,3169035;3495,839202;634,0645733;2560,379178;1260,906404;2532,713693;494,2115419;1859,082249;3169,693983;2155,843388;734,9208467
001.002.0001 - Equipe de Vendas;001.0003 - Indenizações;943,2652051;1753,246685;859,6344752;1927,38475;952,4978356;1459,630413;2823,597574;849,5853025;1679,987492;3006,31785;1645,513348;1042,240497;2954,470811;438,5335441;1381,620132;466,8625656;1026,654413;963,4499899;1125,379258;491,9316691;1189,933316;1401,992874;833,1478452;408,6717942
001.002.0002 - Marketing Digital;001.0003 - Indenizações;504,320614;752,7645701;332,7921909;705,9236601;396,099309;720,9626761;884,9151462;422,884127;871,5285015;691,6687899;1256,400246;765,302919;1059,520291;94,74241958;668,9086241;205,2310001;498,4492332;545,9752198;453,0671863;187,4327824;626,6326643;824,5643164;483,8083575;178,0415888
001.002.0003 - Pesquisa de Mercado;001.0003 - Indenizações;233,9069772;196,289397;108,1413982;232,2703259;216,3995616;207,6650786;302,9701565;150,2710542;524,2460307;441,6472964;258,1798071;170,6769195;308,2209269;36,88989407;280,2111877;69,18637952;143,8363364;140,0122136;149,5930625;78,8866269;171,9793792;261,5429541;155,3914956;83,97709341
001.002.0004 - Gerência de Vendas;001.0003 - Indenizações;89,74523725;93,18756996;44,00423091;167,764513;74,56634448;122,3865866;205,045909;89,1137081;248,9314655;161,1591851;213,1915066;95,0722254;242,4411322;21,98616693;203,8704741;38,08908978;118,0117712;72,12559901;109,8207315;28,63162873;97,08727369;155,1225464;98,60298439;44,0681961
001.003.0001 - Recrutamento e Seleção;001.0003 - Indenizações;146,0220918;235,2792667;86,81575264;278,7779376;204,5611708;204,5412711;357,2881427;183,5245776;391,5831043;267,0822517;327,4473351;166,1298343;323,9780536;47,704967;374,8369389;54,85069118;175,3468963;200,0960041;155,3315305;71,69836026;151,9978462;306,3624701;155,08135;62,83875588
001.003.0002 - Treinamento e Desenvolvimento;001.0003 - Indenizações;188,4412248;185,652479;47,73523859;225,2036571;110,3812957;163,4935512;228,4631;198,7687088;328,9611619;334,5969288;305,8198659;186,5622039;327,2196651;44,08238443;286,2669985;44,6417338;107,1378522;106,4123493;137,327294;58,74338553;198,717678;222,8238209;122,3932176;67,2305905
001.003.0003 - Remuneração e Benefícios;001.0003 - Indenizações;115,3655838;147,7684572;39,69953502;126,2501807;136,2881655;173,9475758;287,2734715;132,3152072;251,002885;233,9266979;195,3410995;162,0042051;243,4799692;43,74196075;159,1143622;31,56329095;122,5045512;85,35666623;143,3843042;27,24809488;78,22901754;120,7273475;158,18677;60,90934322
001.003.0004 - Relações Trabalhistas;001.0003 - Indenizações;85,69470885;81,2742828;38,55434763;83,40855995;43,93999335;141,3265916;170,5410591;105,3473298;175,8929556;142,5559207;206,6456453;76,59394418;157,7036317;23,04013837;115,2628461;38,62185681;86,37776998;47,87933114;62,85524026;22,72892341;63,2898297;116,72392;85,69312818;29,58746136
